item_id,category_id
1,34
2,34
3,34
4,34
5,34
6,33
7,33
8,33
9,33
10,33
11,33
12,33
13,33
14,33
15,33
16,33
17,27
18,30
19,30
20,30
21,30
22,30
23,27
24,27
25,27
26,27
27,30
28,29
29,29
30,27
31,27
32,27
33,27
34,27
35,27
36,30
37,29
38,28
39,28
40,28
41,28
42,30
43,27
44,29
45,26
46,26
47,26
48,26
49,26
50,26
51,26
52,26
53,26
54,30
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,11
64,11
65,38
66,38
67,38
68,11
69,11
70,9
71,9
72,9
73,9
74,9
75,9
76,11
77,11
78,11
79,11
80,10
81,10
82,10
83,10
84,10
85,10
86,24
87,24
88,24
89,24
90,24
91,24
92,24
93,9
94,35
95,32
96,32
97,32
98,32
99,35
100,35
101,35
102,35
103,35
104,35
105,35
106,24
107,10
108,10
109,10
110,10
111,35
112,18
113,18
114,25
115,25
116,25
117,25
118,25
119,25
120,25
121,25
122,25
123,25
124,25
125,25
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,6
137,6
138,6
139,6
140,6
141,8
142,8
143,8
144,8
145,8
146,2
147,2
148,2
149,2
150,2
151,2
152,8
153,8
154,8
155,8
156,8
157,8
158,8
159,8
160,8
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,4
186,5
187,5
188,4
189,4
190,12
191,12
192,14
193,16
194,12
195,16
196,12
197,13
198,12
199,19
200,16
201,16
202,18
203,18
204,18
205,12
206,16
207,12
208,16
209,12
210,19
211,12
212,10
213,18
214,19
215,19
216,19
217,19
218,19
219,19
220,19
221,19
222,19
223,19
224,19
225,19
226,19
227,19
228,19
229,10
230,12
231,19
232,12
233,18
234,18
235,18
236,18
237,36
238,36
239,36
240,36
241,36
242,12
243,12
244,12
245,12
246,12
247,12
248,12
249,15
250,15
251,18
252,12
253,12
254,12
255,15
256,15
257,12
258,12
259,12
260,12
261,12
262,12
263,12
264,13
265,15
266,14
267,14
268,14
269,14
270,14
271,14
272,12
273,12
274,13
275,17
276,17
277,17
278,17
279,17
280,17
281,17
282,17
283,17
284,17
285,17
286,17
287,17
288,17
289,17
290,17
291,19
292,19
293,15
294,19
295,19
296,16
297,16
298,10
299,10
300,10
301,10
302,10
303,12
304,12
305,37
306,37
307,37
308,37
309,37
310,37
311,37
312,37
313,37
314,37
315,37
316,37
317,37
318,37
319,37
320,37
321,37
322,37
323,37
324,37
325,37
326,37
327,37
328,37
329,37
330,37
331,37
332,37
333,37
334,37
335,37
336,37
337,37
338,37
339,37
340,37
341,37
342,37
343,37
344,37
345,37
346,37
347,37
348,37
349,37
350,37
351,37
352,37
353,37
354,37
355,37
356,37
357,37
358,37
359,37
360,37
361,37
362,37
363,37
364,37
365,37
366,37
367,37
368,37
369,37
370,37
371,37
372,37
373,37
374,37
375,37
376,37
377,37
378,37
379,37
380,37
381,37
382,37
383,37
384,37
385,37
386,37
387,37
388,37
389,37
390,37
391,37
392,37
393,37
394,37
395,37
396,37
397,37
398,37
399,37
400,37
401,37
402,37
403,37
404,37
405,21
406,23
407,23
408,21
409,21
410,21
411,21
412,21
413,23
414,21
415,22
416,22
417,22
418,23
419,21
420,21
421,21
422,21
423,21
424,21
425,21
426,21
427,21
428,20
429,20
430,20
431,20
432,20
433,22
434,21
435,22
436,22
437,22
438,22
439,22
440,22
441,22
442,18
443,21
444,20
445,20
446,21
447,21
448,22
449,39
450,39
451,39
452,39
453,39
454,39
455,39
456,34
457,34
458,40
459,40
460,40
461,40
462,40
463,40
464,40
465,21
466,21
467,22
468,22
469,22
470,20
471,21
472,21
473,23
474,22
475,22
476,22
477,22
478,22
479,22
480,22
481,22
482,22
483,22
484,21
485,22
486,41
487,41
488,41
489,41
490,41
491,41
492,41
493,41
494,41
495,41
496,41
497,41
498,41
499,41
500,41
501,41
502,41
503,41
504,41
505,41
506,41
507,41
508,41
509,41
510,41
511,41
512,41
513,23
514,23
515,25
516,25
517,25
518,25
519,25
520,25
521,25
522,25
523,25
524,25
525,25
526,25
527,21
528,21
529,21
530,22
531,21
532,21
533,22
534,20
535,22
536,21
537,22
538,22
539,22
540,22
541,22
542,21
543,22
544,22
545,22
546,22
547,22
548,22
549,21
550,21
551,21
552,21
553,22
554,22
555,22
556,20
557,20
558,21
559,22
560,22
561,22
562,20
563,18
564,18
565,18
566,18
567,27
568,25
569,25
570,25
571,25
572,25
573,25
574,25
575,25
576,25
577,25
578,25
579,25
580,10
581,12
582,12
583,12
584,12
585,12
586,12
587,12
588,12
589,12
590,12
591,42
592,42
593,42
594,42
595,42
596,42
597,42
598,42
599,42
600,42
601,42
602,42
603,42
604,42
605,42
606,26
607,26
608,26
609,26
610,26
611,26
612,24
613,35
614,35
615,20
616,12
617,33
618,11
619,21
620,22
621,24
622,24
623,24
624,24
625,24
626,24
627,24
628,24
629,24
630,24
631,24
632,30
633,43
634,43
635,43
636,43
637,43
638,43
639,43
640,43
641,43
642,43
643,43
644,43
645,43
646,43
647,43
648,43
649,43
650,43
651,43
652,43
653,43
654,43
655,43
656,43
657,22
658,22
659,37
660,37
661,37
662,21
663,23
664,22
665,22
666,22
668,42
669,42
670,21
671,21
673,21
674,21
675,21
676,22
677,22
678,22
679,22
681,21
682,12
683,12
684,17
685,26
686,10
687,10
688,12
689,12
690,12
691,32
692,32
693,32
694,32
695,44
696,44
697,44
698,44
699,44
700,44
701,44
702,44
703,44
704,44
705,44
706,44
707,44
708,44
709,44
710,44
711,44
712,44
713,44
714,44
715,44
716,44
717,44
718,44
719,44
720,44
721,44
722,44
723,7
724,4
725,4
726,10001
727,10001
728,30
729,35
730,35
731,42
732,21
733,22
734,21
735,22
736,22
737,21
738,22
739,21
740,22
741,22
742,21
743,21
744,21
745,37
746,37
747,37
748,37
749,37